,FarmID,Plant_ID,incidence_b_cinerea,SampleDate,Pommaison_lettuce_date,cote_b_lactucae,incidence_sclerotinia
127,1,7,0,186,193,0,0
128,1,8,0,186,193,0,0
129,1,9,0,186,193,0,0
130,1,10,0,186,193,0,0
131,1,11,0,186,193,1,0
132,1,12,0,186,193,0,0
133,1,13,0,186,193,0,0
134,1,14,0,186,193,0,0
135,1,15,0,186,193,0,0
136,1,16,0,186,193,0,0
137,1,17,0,186,193,0,0
138,1,18,0,186,193,0,0
139,1,19,0,186,193,0,0
140,1,20,0,186,193,0,0
141,1,21,0,186,193,0,0
142,1,22,0,186,193,0,0
143,1,23,0,186,193,0,0
144,1,24,0,186,193,0,0
145,1,25,0,186,193,0,0
50,0,1,0,188,0,0,0
51,0,2,0,188,0,1,0
52,0,3,0,188,0,1,0
53,0,4,0,188,0,0,0
54,0,5,0,188,0,1,0
55,0,6,0,188,0,3,0
56,0,7,0,188,0,1,0
57,0,8,0,188,0,1,0
58,0,9,0,188,0,2,0
59,0,10,0,188,0,2,0
60,0,11,0,188,0,2,0
61,0,12,0,188,0,4,0
62,0,13,0,188,0,1,0
63,0,14,0,188,0,1,0
64,0,15,0,188,0,1,0
65,0,16,0,188,0,2,0
66,0,17,0,188,0,1,0
67,0,18,0,188,0,1,0
68,0,19,0,188,0,2,0
69,0,20,0,188,0,1,0
70,0,21,0,188,0,1,0
71,0,22,0,188,0,1,0
72,0,23,0,188,0,1,0
73,0,24,0,188,0,1,0
74,0,25,0,188,0,0,0
146,1,1,0,193,193,1,0
147,1,2,0,193,193,1,0
148,1,3,0,193,193,1,0
149,1,4,0,193,193,2,0
150,1,5,0,193,193,2,0
151,1,6,0,193,193,2,0
152,1,7,0,193,193,2,0
153,1,8,0,193,193,3,0
154,1,9,0,193,193,1,0
155,1,10,0,193,193,1,0
156,1,11,0,193,193,1,0
157,1,12,0,193,193,1,0
158,1,13,0,193,193,1,1
159,1,14,0,193,193,2,0
160,1,15,0,193,193,1,0
161,1,16,0,193,193,1,1
162,1,17,0,193,193,2,0
